Type,Haplotype,Clone,tool,AUROC,AUPRC,Accuracy,Precision,Recall,F1 Score,Kappa,Brier Score,Specificity,PPV,NPV
CN_Gain,maternal,normal,chisel_5x,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_Gain,maternal,clone1,chisel_5x,0.5242310674592918,0.36977889930305213,0.6596491228070176,0.3,0.2465753424657534,0.2706766917293233,0.051466803911476955,0.34035087719298246,0.8018867924528302,0.3,0.7555555555555555
CN_Gain,maternal,clone2,chisel_5x,0.5254150702426563,0.3504623160654833,0.6771929824561403,0.2831858407079646,0.23703703703703705,0.25806451612903225,0.05385656292286889,0.32280701754385965,0.8137931034482758,0.2831858407079646,0.774617067833698
CN_Gain,maternal,clone3,chisel_5x,0.5238935969868174,0.5044776420794159,0.5666666666666667,0.4143646408839779,0.3472222222222222,0.3778337531486146,0.049345703520641826,0.43333333333333335,0.7005649717514124,0.4143646408839779,0.6375321336760925
CN_Gain,maternal,clone4,chisel_5x,0.4938243731406715,0.4755265567765568,0.5298245614035088,0.35714285714285715,0.3605769230769231,0.3588516746411483,-0.01232604373757451,0.47017543859649125,0.6270718232044199,0.35714285714285715,0.6305555555555555
CN_Gain,maternal,clone5,chisel_5x,0.540360841964584,0.5229559970635922,0.5701754385964912,0.40825688073394495,0.43414634146341463,0.42080378250591016,0.07961510578000397,0.4298245614035088,0.6465753424657534,0.40825688073394495,0.6704545454545454
CN_Gain,maternal,clone6,chisel_5x,0.479507543561411,0.44316440138808555,0.5298245614035088,0.33516483516483514,0.2932692307692308,0.3128205128205128,-0.04210440145168781,0.47017543859649125,0.6657458563535912,0.33516483516483514,0.6211340206185567
CN_Gain,maternal,clone7,chisel_5x,0.5313307145931985,0.48606986570565747,0.5894736842105263,0.4036144578313253,0.3316831683168317,0.3641304347826087,0.06528564220440658,0.4105263157894737,0.7309782608695652,0.4036144578313253,0.6658415841584159
CN_Gain,maternal,clone8,chisel_5x,0.5232105680578962,0.6031538770590599,0.5263157894736842,0.4847328244274809,0.4847328244274809,0.4847328244274809,0.04642113611579257,0.47368421052631576,0.5616883116883117,0.4847328244274809,0.5616883116883117
CN_Gain,maternal,clone9,chisel_5x,0.47928039702233244,0.5596528419777487,0.4842105263157895,0.4330708661417323,0.4230769230769231,0.4280155642023346,-0.04151646985705404,0.5157894736842106,0.535483870967742,0.4330708661417323,0.5253164556962026
CN_Gain,paternal,normal,chisel_5x,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_Gain,paternal,clone1,chisel_5x,0.5109649122807018,0.30916179337231975,0.6649122807017543,0.21481481481481482,0.2543859649122807,0.23293172690763053,0.02051282051282055,0.3350877192982456,0.7675438596491229,0.21481481481481482,0.8045977011494253
CN_Gain,paternal,clone2,chisel_5x,0.5059243858622151,0.30125050756477845,0.6526315789473685,0.19463087248322147,0.27102803738317754,0.2265625,0.010295175123208877,0.3473684210526316,0.7408207343412527,0.19463087248322147,0.8147268408551069
CN_Gain,paternal,clone3,chisel_5x,0.514666012921089,0.4381511421515666,0.5789473684210527,0.3279569892473118,0.3465909090909091,0.3370165745856354,0.028878098645540584,0.42105263157894735,0.682741116751269,0.3279569892473118,0.7005208333333334
CN_Gain,paternal,clone4,chisel_5x,0.5225563909774436,0.4539639192320424,0.5701754385964912,0.32547169811320753,0.40350877192982454,0.360313315926893,0.04222048475371387,0.4298245614035088,0.6416040100250626,0.32547169811320753,0.7150837988826816
CN_Gain,paternal,clone5,chisel_5x,0.49914916935856024,0.4674393651342321,0.5140350877192983,0.30798479087452474,0.4602272727272727,0.3690205011389522,-0.001496949014931248,0.48596491228070177,0.5380710659898477,0.30798479087452474,0.6905537459283387
CN_Gain,paternal,clone6,chisel_5x,0.5076192964123999,0.44719930704504207,0.5508771929824562,0.31363636363636366,0.39655172413793105,0.350253807106599,0.014187271990271588,0.44912280701754387,0.6186868686868687,0.31363636363636366,0.7
CN_Gain,paternal,clone7,chisel_5x,0.5291157129672358,0.465307393153503,0.5771929824561404,0.34299516908212563,0.4034090909090909,0.370757180156658,0.05552576213852567,0.42280701754385963,0.6548223350253807,0.34299516908212563,0.7107438016528925
CN_Gain,paternal,clone8,chisel_5x,0.5020289855072464,0.5330049832753089,0.512280701754386,0.3968871595330739,0.4533333333333333,0.42323651452282157,0.003960022628700766,0.48771929824561405,0.5507246376811594,0.3968871595330739,0.6070287539936102
CN_Gain,paternal,clone9,chisel_5x,0.5017287966294869,0.560595648509921,0.4964912280701754,0.4033333333333333,0.5283842794759825,0.45746691871455575,0.003290074940595855,0.5035087719298246,0.4750733137829912,0.4033333333333333,0.6
CN_Neutral,maternal,normal,chisel_5x,,,1.0,1.0,1.0,1.0,,0.0,,,
CN_Neutral,maternal,clone1,chisel_5x,0.5720400836390894,0.7920550938364348,0.6192982456140351,0.6741293532338308,0.7591036414565826,0.7140974967061924,0.1504924382906827,0.38070175438596493,0.38497652582159625,0.6741293532338308,0.4880952380952381
CN_Neutral,maternal,clone2,chisel_5x,0.5277400734401121,0.8091855147650004,0.6035087719298246,0.7027027027027027,0.731457800511509,0.7167919799498746,0.05685795030237362,0.39649122807017545,0.3240223463687151,0.7027027027027027,0.3558282208588957
CN_Neutral,maternal,clone3,chisel_5x,0.54500592183182,0.6650498796009632,0.5403508771929825,0.5146198830409356,0.6470588235294118,0.5732899022801303,0.08901251738525728,0.45964912280701753,0.4429530201342282,0.5146198830409356,0.5789473684210527
CN_Neutral,maternal,clone4,chisel_5x,0.5301707686435775,0.6561194457598858,0.5298245614035088,0.5239616613418531,0.5795053003533569,0.5503355704697986,0.06029699437752978,0.47017543859649125,0.4808362369337979,0.5239616613418531,0.5369649805447471
CN_Neutral,maternal,clone5,chisel_5x,0.5556299520142841,0.7014497336294693,0.5578947368421052,0.594059405940594,0.5825242718446602,0.5882352941176471,0.11106160187144931,0.4421052631578947,0.5287356321839081,0.594059405940594,0.5168539325842697
